Year;Primary County;Dual Eligible;Major Diagnostic Category;Episode Disease Category;Beneficiaries with Condition;Beneficiaries with Admissions;Total Inpatient Admissions;Beneficiaries with ER Visits;Total ER Visits
2012;Westchester;Non-Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,115;1,003;2,416;1,305;4,926
2012;Ulster;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,119;510;986;1,208;3,866
2012;Suffolk;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Angina and Ischemic Heart Disease;2,123;1,054;2,518;896;2,709
2012;Queens;Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,127;961;1,817;736;1,746
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Chronic Cardiovascular Diagnoses - Minor;2,137;1,564;3,804;891;2,719
2012;Monroe;Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;2,141;631;959;816;2,915
2012;Erie;Dual;Diseases And Disorders Of The Cardiovascular System;Congestive Heart Failure;2,156;1,337;1,923;704;1,727
2012;Jefferson;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,157;482;852;1,037;3,191
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Cardiomyopathy;2,162;1,443;4,367;905;2,687
2012;New York;Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;2,165;1,675;2,981;653;1,446
2012;Nassau;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;2,167;1,167;2,763;856;2,306
2012;Bronx;Non-Dual;Diabetes Mellitus;Diabetes - Juvenile Onset;2,171;960;2,618;1,099;3,123
2012;Nassau;Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;2,172;926;1,601;627;1,204
2012;Suffolk;Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;2,172;888;1,456;607;1,599
2012;Queens;Non-Dual;Mental Diseases And Disorders;Post Traumatic Stress Disorder;2,176;610;1,532;1,046;3,042
2012;Kings;Non-Dual;Substance Abuse;Delirium Tremens;2,193;2,144;9,814;1,528;11,105
2012;Bronx;Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;2,196;1,835;3,797;646;1,287
2012;New York;Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,218;986;1,979;838;2,609
2012;Monroe;Non-Dual;Substance Abuse;Opioid Abuse;2,223;905;2,056;1,266;5,467
2012;New York;Non-Dual;Substance Abuse;Delirium Tremens;2,223;2,201;12,280;1,650;13,311
2012;Queens;Dual;Diseases And Disorders Of The Cardiovascular System;Valvular Disorders;2,230;1,125;1,972;458;864
2012;Queens;Non-Dual;Diseases And Disorders Of The Cardiovascular System;History of Percutaneous Transluminal Coronary Angioplasty;2,234;1,911;4,020;738;1,895
2012;Albany;Non-Dual;Mental Diseases And Disorders;Schizophrenia;2,242;609;1,159;1,281;4,766
2012;Suffolk;Non-Dual;Substance Abuse;Cocaine Abuse;2,243;1,357;3,493;1,439;5,131
2012;Bronx;Non-Dual;Substance Abuse;Delirium Tremens;2,252;2,223;10,813;1,674;10,038
2012;Queens;Non-Dual;Diabetes Mellitus;Diabetes - Juvenile Onset;2,260;769;1,851;839;2,052
2012;Rockland;Non-Dual;Diabetes Mellitus;Diabetes;2,260;467;854;627;1,291
2012;Queens;Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;2,267;1,393;2,547;583;1,097
2012;Westchester;Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,272;610;951;729;1,861
2012;Suffolk;Dual;Diseases And Disorders Of The Cardiovascular System;Malignant and Other Significant Hypertension;2,275;1,593;2,490;704;1,329
2012;Bronx;Dual;Diseases And Disorders Of The Cardiovascular System;History of Myocardial Infarction;2,278;2,041;3,860;664;1,395
2012;Queens;Dual;Diseases And Disorders Of The Cardiovascular System;History of Myocardial Infarction;2,279;1,970;3,409;610;1,168
2012;Nassau;Non-Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;2,281;1,098;3,020;1,269;4,331
2012;Erie;Non-Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;2,283;1,068;2,479;1,415;5,237
2012;New York;Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;2,283;1,490;2,629;750;1,900
2012;Orange;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,288;532;1,138;1,142;4,193
2012;Queens;Non-Dual;Substance Abuse;Other Significant Drug Abuse;2,295;1,144;4,227;1,234;4,923
2012;Rensselaer;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,299;591;1,046;1,488;5,278
2012;New York;Dual;Diabetes Mellitus;Diabetic Neuropathy;2,308;1,038;1,731;685;1,452
2012;Queens;Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;2,322;1,762;3,227;577;1,069
2012;Monroe;Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;2,323;1,174;1,796;773;2,160
2012;Onondaga;Non-Dual;Substance Abuse;Chronic Alcohol Abuse;2,325;1,176;2,695;1,394;5,838
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;History of Percutaneous Transluminal Coronary Angioplasty;2,334;2,058;5,314;957;2,855
2012;Onondaga;Non-Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;2,346;1,168;2,701;1,426;6,651
2012;Suffolk;Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;2,348;1,322;1,921;553;994
2012;Monroe;Non-Dual;Substance Abuse;Cocaine Abuse;2,354;1,332;2,965;1,555;7,700
2012;Erie;Dual;Mental Diseases And Disorders;Schizophrenia;2,362;677;1,018;808;2,158
2012;Suffolk;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;2,362;1,361;3,199;1,087;3,208
2012;Saratoga;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,374;495;877;921;2,595
2012;Nassau;Non-Dual;Mental Diseases And Disorders;Attention Deficit / Hyperactivity Disorder;2,378;344;614;836;1,757
2012;Kings;Non-Dual;Substance Abuse;Cocaine Abuse - Continuous;2,381;2,234;10,155;1,712;9,401
2012;Bronx;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Valvular Disorders;2,385;1,393;4,349;1,153;3,159
2012;Nassau;Dual;Diseases And Disorders Of The Cardiovascular System;Malignant and Other Significant Hypertension;2,385;1,551;2,458;585;1,007
2012;Orange;Non-Dual;Diabetes Mellitus;Diabetes;2,388;624;1,207;954;2,827
2012;Bronx;Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,392;1,073;1,996;893;2,170
2014;Steuben;Dual;Diabetes Mellitus;Diabetic Neuropathy;99;34;57;48;231
2012;Kings;Non-Dual;Substance Abuse;Drug Abuse Related Diagnoses;2,393;1,385;6,330;1,363;7,531
2012;Richmond;Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;2,394;1,215;1,849;508;1,038
2012;Westchester;Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;2,395;1,210;1,914;734;1,733
2012;Orange;Non-Dual;Mental Diseases And Disorders;Schizophrenia;2,411;670;1,312;1,267;4,216
2012;Erie;Non-Dual;Mental Diseases And Disorders;Post Traumatic Stress Disorder;2,414;709;1,486;1,539;5,955
2012;Queens;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Unstable Angina;2,419;1,893;4,524;966;3,199
2012;Nassau;Dual;Mental Diseases And Disorders;Schizophrenia;2,429;738;1,236;594;1,223
2012;Queens;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;2,442;1,328;3,322;736;1,858
2012;Nassau;Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;2,448;1,452;2,247;610;1,141
2012;Bronx;Dual;HIV Infection;HIV Disease;2,453;841;1,410;724;1,288
2012;Queens;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;2,463;1,687;4,799;954;2,677
2012;Bronx;Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;2,466;1,689;3,377;834;1,756
2012;Dutchess;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,472;749;1,044;704;1,698
2012;Queens;Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Device Status;2,478;1,741;2,778;554;995
2012;Westchester;Non-Dual;Mental Diseases And Disorders;Attention Deficit / Hyperactivity Disorder;2,488;371;662;991;2,251
2012;Rockland;Non-Dual;Mental Diseases And Disorders;Depression;2,497;580;1,227;895;2,310
2012;Saratoga;Non-Dual;Mental Diseases And Disorders;Depression;2,497;573;1,070;1,094;3,257
2012;Queens;Non-Dual;Diabetes Mellitus;Other Diabetic Complications;2,507;1,197;3,236;1,006;2,838
2012;Kings;Non-Dual;Diseases And Disordes Of The Respiratory System;Status Asthmaticus;2,530;1,608;2,975;1,470;4,418
2012;Niagara;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,532;644;1,299;1,462;4,442
2012;Erie;Non-Dual;Substance Abuse;Other Significant Drug Abuse;2,535;920;2,030;1,516;5,658
2012;Bronx;Non-Dual;Substance Abuse;Other Significant Drug Abuse - Continuous;2,547;2,341;10,048;1,817;8,448
2012;Chautauqua;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,564;429;761;1,416;4,069
2012;St Lawrence;Non-Dual;Mental Diseases And Disorders;Depression;2,575;726;1,398;1,560;5,443
2012;Bronx;Non-Dual;Diabetes Mellitus;Diabetic Retinopathy;2,585;903;2,217;1,054;2,333
2012;Ulster;Non-Dual;Mental Diseases And Disorders;Depression;2,601;667;1,342;1,420;4,577
2012;Erie;Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;2,615;1,418;1,966;826;2,035
2012;Oneida;Non-Dual;Mental Diseases And Disorders;Schizophrenia;2,623;656;1,326;1,332;3,993
2012;Erie;Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;2,642;1,375;1,974;935;2,346
2012;Queens;Non-Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Moderate;2,652;956;2,624;1,331;4,336
2012;Erie;Non-Dual;Substance Abuse;Cocaine Abuse;2,654;1,357;2,868;1,780;7,161
2012;Dutchess;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,657;597;1,139;1,494;4,678
2012;New York;Non-Dual;Substance Abuse;Cocaine Abuse - Continuous;2,667;2,541;12,672;1,922;10,296
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;History of Myocardial Infarction;2,673;2,384;7,137;1,206;4,496
2012;New York;Non-Dual;Substance Abuse;Other Significant Drug Abuse - Continuous;2,673;2,321;11,357;1,926;10,805
2012;Erie;Non-Dual;Mental Diseases And Disorders;Conduct, Impulse Control, and Other Disruptive Behavior Disorders;2,677;359;764;1,229;3,313
2012;Rensselaer;Non-Dual;Mental Diseases And Disorders;Depression;2,677;732;1,409;1,600;5,585
2012;Erie;Non-Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Moderate;2,686;862;1,862;1,696;6,552
2012;Schenectady;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,695;615;1,098;1,731;5,341
2012;Kings;Dual;Diabetes Mellitus;Diabetes - Juvenile Onset;2,701;1,158;1,873;610;1,172
2012;Oneida;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,705;682;1,399;1,443;5,173
2012;Westchester;Dual;Diseases And Disorders Of The Cardiovascular System;Congestive Heart Failure;2,712;1,545;2,444;751;1,521
2012;Monroe;Non-Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,720;933;1,958;1,712;7,498
2012;Erie;Non-Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;2,737;920;2,204;1,539;6,326
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;Unstable Angina;2,738;2,054;3,459;641;1,439
2012;Rensselaer;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,747;661;1,240;1,453;4,577
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;History of Coronary Artery Bypass Graft;2,753;2,319;3,686;592;1,006
2012;Bronx;Non-Dual;Diseases And Disordes Of The Respiratory System;Status Asthmaticus;2,755;2,167;3,955;1,862;5,961
2012;Bronx;Non-Dual;Substance Abuse;Cocaine Abuse - Continuous;2,764;2,687;12,074;1,965;8,851
2012;Kings;Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,765;1,269;2,673;955;2,597
2012;Monroe;Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,767;678;1,055;967;3,208
2012;Suffolk;Non-Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;2,769;1,071;2,229;1,393;3,513
2012;Bronx;Dual;Diabetes Mellitus;Diabetic Neuropathy;2,780;1,441;2,530;891;1,613
2012;Bronx;Non-Dual;Diabetes Mellitus;Other Diabetic Complications;2,785;1,665;5,089;1,509;4,632
2012;Queens;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Valvular Disorders;2,791;1,053;2,633;841;1,984
2012;Oswego;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,806;592;1,070;963;2,505
2012;Westchester;Non-Dual;Substance Abuse;Chronic Alcohol Abuse;2,807;1,517;3,635;1,652;5,982
2012;Queens;Non-Dual;Substance Abuse;Cocaine Abuse;2,814;1,886;6,350;1,684;6,677
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Unstable Angina;2,816;2,115;6,122;1,326;4,980
2012;Westchester;Non-Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;2,816;1,228;2,963;1,637;5,650
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;2,828;1,702;4,504;930;2,776
2012;Onondaga;Non-Dual;Mental Diseases And Disorders;Attention Deficit / Hyperactivity Disorder;2,842;304;663;929;2,435
2012;St Lawrence;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;2,864;675;1,282;1,555;4,767
2012;Schenectady;Non-Dual;Mental Diseases And Disorders;Depression;2,877;820;1,584;1,696;5,599
2012;Suffolk;Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;2,880;1,213;2,005;1,002;2,656
2012;Onondaga;Dual;Diabetes Mellitus;Diabetes;2,883;979;1,468;885;2,613
2012;Richmond;Non-Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;2,901;1,210;3,120;1,544;5,152
2012;Dutchess;Non-Dual;Mental Diseases And Disorders;Depression;2,902;815;1,810;1,615;5,843
2012;Onondaga;Non-Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;2,920;1,033;2,567;1,752;7,440
2012;New York;Non-Dual;Mental Diseases And Disorders;Post Traumatic Stress Disorder;2,927;1,027;3,307;1,646;5,558
2012;Broome;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,928;636;1,061;1,603;5,456
2012;Rockland;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;2,935;608;1,082;1,224;2,887
2012;New York;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Congestive Heart Failure;2,946;2,032;6,396;1,446;5,111
2012;New York;Non-Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;2,955;1,688;5,648;1,569;6,920
2012;Nassau;Dual;Diseases And Disorders Of The Cardiovascular System;Congestive Heart Failure;2,960;1,781;2,741;598;1,045
2012;Erie;Non-Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;2,976;1,136;2,315;1,715;5,023
2012;Westchester;Dual;Mental Diseases And Disorders;Depression;2,980;1,251;1,944;873;2,138
2012;Nassau;Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;2,982;845;1,301;759;1,429
2012;Chautauqua;Non-Dual;Mental Diseases And Disorders;Depression;2,990;634;1,217;1,635;5,017
2012;Erie;Non-Dual;Mental Diseases And Disorders;Bi-Polar Disorder;2,991;1,159;2,335;1,942;7,417
2012;Bronx;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;3,029;2,333;7,555;1,539;4,981
2012;Kings;Non-Dual;Diabetes Mellitus;Diabetes - Juvenile Onset;3,029;1,204;3,127;1,351;3,929
2012;Niagara;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;3,039;712;1,342;1,806;5,144
2012;Orange;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,040;996;1,495;1,101;3,125
2012;Bronx;Dual;Diseases And Disorders Of The Cardiovascular System;Angina and Ischemic Heart Disease;3,041;1,908;3,618;907;1,829
2012;Ulster;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,048;777;1,531;1,466;4,325
2012;Suffolk;Dual;Mental Diseases And Disorders;Schizophrenia;3,068;920;1,478;1,003;2,399
2012;Nassau;Non-Dual;Substance Abuse;Chronic Alcohol Abuse;3,095;1,699;4,350;1,600;5,325
2012;Albany;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,103;919;1,434;1,127;3,149
2012;Kings;Dual;Mental Diseases And Disorders;Depressive Psychosis - Severe;3,126;962;1,632;629;1,342
2012;Oswego;Non-Dual;Mental Diseases And Disorders;Depression;3,165;693;1,319;1,322;3,588
2012;Suffolk;Dual;Diseases And Disorders Of The Cardiovascular System;Congestive Heart Failure;3,166;1,898;2,864;805;1,500
2012;New York;Non-Dual;Substance Abuse;Opioid Abuse - Continuous;3,167;2,775;11,278;1,983;9,890
2012;Chautauqua;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,180;591;1,109;1,533;4,512
2012;Nassau;Non-Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;3,184;1,417;3,586;1,600;5,113
2012;Kings;Non-Dual;Substance Abuse;Other Significant Drug Abuse - Continuous;3,187;2,732;10,459;2,133;10,770
2012;Rockland;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,217;938;1,379;772;1,598
2012;Oneida;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,281;1,091;1,595;957;2,712
2012;Kings;Non-Dual;Substance Abuse;Opioid Abuse - Continuous;3,327;2,848;10,569;2,187;10,856
2012;Schenectady;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,343;772;1,501;1,712;5,428
2012;New York;Non-Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Moderate;3,350;1,323;4,406;1,924;7,154
2012;New York;Dual;Diseases And Disorders Of The Cardiovascular System;Angina and Ischemic Heart Disease;3,367;1,782;2,929;870;1,758
2012;Queens;Non-Dual;Diabetes Mellitus;Diabetic Retinopathy;3,367;784;1,650;886;1,699
2012;Dutchess;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;3,428;799;1,591;1,618;4,827
2012;Kings;Dual;Diabetes Mellitus;Diabetic Retinopathy;3,435;1,221;1,932;744;1,243
2012;Suffolk;Dual;Diseases And Disordes Of The Respiratory System;Chronic Obstructive Pulmonary Disease and Bronchiectasis;3,437;1,916;2,921;957;2,022
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Valvular Disorders;3,441;1,696;4,549;1,281;3,295
2012;Onondaga;Non-Dual;Diabetes Mellitus;Diabetes;3,457;910;1,974;1,542;5,254
2012;Onondaga;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;3,462;783;1,969;1,756;7,381
2012;Richmond;Dual;Diabetes Mellitus;Diabetes;3,472;1,372;2,018;793;1,564
2012;Suffolk;Non-Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;3,479;1,832;5,008;2,157;8,638
2012;Nassau;Dual;Mental Diseases And Disorders;Depression;3,486;1,756;2,814;897;1,873
2012;Suffolk;Non-Dual;Mental Diseases And Disorders;Bi-Polar Disorder;3,511;1,616;4,122;2,192;8,379
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;History of Percutaneous Transluminal Coronary Angioplasty;3,531;3,245;5,156;830;1,568
2012;Erie;Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;3,535;831;1,214;1,192;3,349
2012;Richmond;Non-Dual;Mental Diseases And Disorders;Schizophrenia;3,543;1,120;2,625;1,760;5,315
2012;New York;Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Dysrhythmia and Conduction Disorders;3,546;2,679;4,558;1,029;2,504
2012;Westchester;Dual;Diseases And Disorders Of The Cardiovascular System;Coronary Atherosclerosis;3,547;1,928;2,965;1,063;2,436
2012;Kings;Non-Dual;Diabetes Mellitus;Diabetic Retinopathy;3,556;977;2,187;1,144;2,383
2012;Albany;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;3,567;906;1,750;2,220;7,950
2012;Kings;Dual;Diabetes Mellitus;Diabetes with Circulatory Complication;3,572;1,523;2,403;655;1,018
2012;New York;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Dysrhythmia and Conduction Disorders;3,572;2,613;9,895;1,990;11,095
2012;New York;Non-Dual;Mental Diseases And Disorders;Depressive Psychosis - Severe;3,590;1,326;4,566;1,856;6,397
2012;Suffolk;Non-Dual;Substance Abuse;Other Significant Drug Abuse;3,602;1,698;4,187;2,068;7,066
2012;Queens;Non-Dual;Mental Diseases And Disorders;Depressive Psychosis - Severe;3,605;1,159;2,663;1,506;4,175
2012;New York;Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;3,609;1,690;2,780;945;2,083
2012;New York;Non-Dual;Mental Diseases And Disorders;Conduct, Impulse Control, and Other Disruptive Behavior Disorders;3,635;1,045;3,607;2,047;7,321
2012;Kings;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;3,686;2,626;7,910;1,618;4,671
2012;Kings;Dual;Diabetes Mellitus;Other Diabetic Complications;3,702;2,373;4,080;959;2,024
2012;New York;Non-Dual;Diabetes Mellitus;Diabetic Neuropathy;3,723;1,157;3,343;1,630;5,037
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;Other Cardiovascular Diagnoses - Major;3,743;2,844;5,188;896;1,889
2012;Albany;Non-Dual;Mental Diseases And Disorders;Depression;3,747;1,092;2,320;2,103;8,374
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Device Status;3,766;2,626;4,061;747;1,288
2012;Bronx;Non-Dual;Substance Abuse;Opioid Abuse - Continuous;3,774;3,412;12,648;2,407;10,269
2012;New York;Non-Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;3,795;1,509;6,038;1,937;9,083
2012;Queens;Dual;Diabetes Mellitus;Diabetic Neuropathy;3,806;1,395;2,237;785;1,351
2012;Oneida;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;3,822;928;1,783;1,975;5,581
2012;Erie;Non-Dual;Substance Abuse;Opioid Abuse;3,831;1,539;3,263;2,292;8,581
2012;Erie;Dual;Mental Diseases And Disorders;Depression;3,835;1,641;2,369;1,464;4,030
2012;Queens;Non-Dual;Mental Diseases And Disorders;Conduct, Impulse Control, and Other Disruptive Behavior Disorders;3,874;829;2,212;1,766;5,289
2012;Onondaga;Non-Dual;Mental Diseases And Disorders;Schizophrenia;3,876;991;2,345;2,003;7,742
2012;Kings;Non-Dual;Diabetes Mellitus;Other Diabetic Complications;3,897;1,959;5,477;1,763;5,441
2012;Broome;Non-Dual;Mental Diseases And Disorders;Depression;3,916;838;1,496;1,994;6,032
2012;Bronx;Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Dysrhythmia and Conduction Disorders;3,925;3,227;6,169;1,282;2,813
2012;Orange;Non-Dual;Mental Diseases And Disorders;Depression;3,938;1,065;2,128;1,940;6,541
2012;New York;Dual;Mental Diseases And Disorders;Schizophrenia;3,956;1,458;2,751;1,276;3,546
2012;Bronx;Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;3,965;2,708;4,666;923;1,606
2012;Niagara;Non-Dual;Mental Diseases And Disorders;Depression;3,994;1,156;2,226;2,200;6,192
2012;Suffolk;Non-Dual;Mental Diseases And Disorders;Attention Deficit / Hyperactivity Disorder;3,999;605;1,161;1,554;3,641
2012;Suffolk;Non-Dual;Substance Abuse;Opioid Abuse;4,015;2,166;5,176;2,340;8,317
2012;Suffolk;Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;4,045;1,140;1,833;1,276;3,117
2012;Queens;Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;4,090;2,109;3,543;946;1,905
2012;Westchester;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;4,092;987;2,088;2,072;6,276
2012;Bronx;Dual;Mental Diseases And Disorders;Chronic Mental Health Diagnoses - Minor;4,100;1,953;3,466;992;1,917
2012;Bronx;Non-Dual;Mental Diseases And Disorders;Post Traumatic Stress Disorder;4,110;1,264;3,533;2,232;7,028
2012;Broome;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;4,151;866;1,534;1,897;5,573
2012;New York;Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;4,169;2,583;3,897;918;1,804
2012;New York;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Malignant and Other Significant Hypertension;4,179;2,030;5,869;1,687;5,003
2012;Monroe;Dual;Mental Diseases And Disorders;Depression;4,226;1,529;2,325;1,537;4,990
2012;Queens;Non-Dual;Substance Abuse;Opioid Abuse;4,227;2,048;6,615;2,163;7,494
2012;Niagara;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;4,242;960;1,833;2,068;5,570
2012;New York;Non-Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;4,262;2,060;6,196;2,121;7,610
2012;Kings;Dual;Diseases And Disorders Of The Cardiovascular System;History of Myocardial Infarction;4,264;3,672;6,049;948;1,816
2012;Bronx;Dual;Mental Diseases And Disorders;Schizophrenia;4,293;1,680;2,936;1,342;3,153
2012;Bronx;Non-Dual;Substance Abuse;Other Significant Drug Abuse;4,294;2,375;9,802;2,543;10,666
2012;Orange;Non-Dual;Diseases And Disordes Of The Respiratory System;Asthma;4,322;1,019;1,858;2,166;6,718
2012;Suffolk;Dual;Mental Diseases And Disorders;Depression;4,367;2,006;3,179;1,395;3,551
2012;Onondaga;Dual;Diseases And Disorders Of The Cardiovascular System;Hypertension;4,396;1,362;2,056;1,328;4,095
2012;Monroe;Non-Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;4,435;1,702;3,676;2,658;11,195
2012;Richmond;Non-Dual;Mental Diseases And Disorders;Chronic Stress and Anxiety Diagnoses;4,439;1,026;2,486;1,999;5,810
2012;Westchester;Non-Dual;Mental Diseases And Disorders;Depressive and Other Psychoses;4,451;1,704;3,884;2,496;7,756
2012;New York;Non-Dual;Substance Abuse;Other Significant Drug Abuse;4,456;2,532;11,586;2,764;13,392
2012;Kings;Dual;Diseases And Disordes Of The Respiratory System;Other Chronic Pulmonary Diagnoses;4,498;2,637;4,543;1,023;2,286
2012;Nassau;Non-Dual;Mental Diseases And Disorders;Schizophrenia;4,498;1,377;3,190;1,987;5,651
2012;Westchester;Non-Dual;Mental Diseases And Disorders;Schizophrenia;4,506;1,568;3,410;2,400;7,506
