Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2013,6.39,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2013,7.07,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2013,8.35,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2013,7.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2013,5.71,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2013,7.56,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2014,7.48,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2014,9.34,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2014,7.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2014,8.77,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2014,3.49,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2014,8.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2014,7.31,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2014,10.65,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2014,6.66,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2014,7.24,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2014,7.84,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2014,8.65,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2014,6.1,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2014,7.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2015,7.94,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2015,9.61,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2015,7.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2015,9.28,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2015,4.42,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2015,9.24,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2015,8.04,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2015,11.02,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2015,6.82,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2015,7.44,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2015,8.11,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2015,8.62,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2015,6.22,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2015,7.49,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2016,6.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2016,8.19,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2016,5.8,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2016,6.84,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2016,3.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2016,7.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2016,6.26,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2016,8.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2016,5.35,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2016,6.16,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2016,6.74,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2016,7.21,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2016,4.99,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2016,6.51,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2017,6.43,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2017,7.7,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2017,6.05,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2017,7.18,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2017,7.34,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2017,6.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2017,8.76,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2017,5.37,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2017,5.88,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2017,6.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2017,6.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2017,4.77,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2017,6.53,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2000,0.85,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2000,4.11,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Broome County,7,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2000,0.92,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2000,0.85,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2000,4.13,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2000,2.48,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2000,6.47,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Oneida County,65,2000,0.9,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2000,0.86,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2000,3.25,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2000,2.52,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Schenectady C,93,2000,0.89,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2000,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2000,0.92,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2000,0.96,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2001,0.85,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2001,4.82,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Broome County,7,2001,0.92,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2001,1.75,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2001,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2001,4.92,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2001,0.33,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2001,2.21,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2001,2.54,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2001,1.63,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2001,5.64,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2001,3.51,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Oneida County,65,2001,1.68,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2001,3.1,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2001,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2001,2.81,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2001,1.61,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2001,0.93,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Schenectady C,93,2001,0.85,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2001,0.94,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2001,1.71,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2001,0.83,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2002,2.59,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2002,3.93,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Broome County,7,2002,4.55,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2002,2.63,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2002,0.83,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2002,4.1,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2002,1.31,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2002,2.38,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2002,2.48,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2002,1.63,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2002,4.07,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2002,1.87,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Oneida County,65,2002,3.45,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2002,4.07,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2002,0.87,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2002,2.92,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2002,3.17,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2002,3.41,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Schenectady C,93,2002,2.56,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2002,2.71,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2002,2.48,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2002,0.83,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2003,1.72,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2003,3.51,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Broome County,7,2003,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2003,0.97,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Dutchess Coun,27,2003,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2003,4.27,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2003,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2003,3.54,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2003,1.77,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2003,3.51,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2003,4.13,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2003,1.89,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Oneida County,65,2003,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2003,1.47,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2003,1.79,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2003,2.73,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2003,4.5,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2003,1.04,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Schenectady C,93,2003,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2003,0.63,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2003,3.64,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2003,2.56,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2004,1.64,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2004,2.2,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2004,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2004,1.69,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2004,0.6,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2004,2.68,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2004,1.45,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2004,1.68,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2004,3.25,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2004,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2004,1.79,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2004,1.67,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2004,1.97,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2004,2.52,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2004,0.88,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2004,0.94,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2004,0.82,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2004,0.82,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2005,3.33,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2005,3.31,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2005,1.71,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2005,2.46,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2005,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2005,2.65,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2005,2.73,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2005,2.59,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2005,4.1,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2005,5.45,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2005,1.64,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2005,0.88,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2005,1.64,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2005,1.61,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2005,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2005,0.31,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2005,1.68,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2005,0.84,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2006,1.01,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2006,2.59,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2006,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2006,0.83,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2006,0.31,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2006,2.68,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2006,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2006,0.88,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2006,4.96,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2006,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2006,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2006,0.89,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2006,1.9,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2006,2.52,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2006,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2006,0.58,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2006,0.86,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2006,1.67,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2007,0.6,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2007,2.87,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2007,0.87,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Erie County,29,2007,2.13,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Essex County,31,2007,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Kings County,47,2007,1.71,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Monroe County,55,2007,0.84,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Nassau County,59,2007,0.93,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,New York Coun,61,2007,3.31,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Niagara Count,63,2007,1.72,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Onondaga Coun,67,2007,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Orange County,71,2007,1.71,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Queens County,81,2007,1.51,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Richmond Coun,85,2007,0.82,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,St. Lawrence,89,2007,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Steuben Count,101,2007,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Suffolk Count,103,2007,0,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Westchester C,119,2007,0.86,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Albany County,1,2008,0.55,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Bronx County,5,2008,0.58,Percent
Fine Particulate (PM2.5): Annual Percent of Monitored Days Above National Ambient Air Quality Standard,2,Chautauqua Co,13,2008,0,Percent
