Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2015,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2016,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2000,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2001,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2002,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2003,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2004,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2005,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2006,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2007,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2008,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2009,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2010,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2011,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oneida County,65,2012,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2000,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2001,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2002,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2003,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2004,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2005,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2006,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2007,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2008,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2010,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2011,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2012,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Onondaga Coun,67,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2000,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2001,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2002,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2003,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2004,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2005,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2006,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2007,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2008,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2010,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2011,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2012,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2015,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Orange County,71,2016,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2003,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2004,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2005,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2006,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2007,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2008,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2010,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2011,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2012,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2015,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Oswego County,75,2016,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2000,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2001,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2002,35,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2003,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2004,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2005,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2006,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2007,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2008,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2010,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2011,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2012,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2013,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2015,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Putnam County,79,2016,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2000,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2001,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2002,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2003,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2004,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2005,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2006,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2007,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2008,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2010,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2011,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2012,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2013,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2015,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Queens County,81,2016,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2002,33,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2003,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2004,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2005,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2006,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2007,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2008,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rensselaer Co,83,2012,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2000,23,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2001,29,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2002,39,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2004,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2005,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2006,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2007,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2008,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2009,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2010,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2011,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2012,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2013,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2014,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2015,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Richmond Coun,85,2016,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2010,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2011,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2012,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2013,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2015,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Rockland Coun,87,2016,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2000,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2001,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2002,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2003,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2004,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2005,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2006,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2007,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2008,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2009,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2010,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2012,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2015,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Saratoga Coun,91,2016,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2000,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2001,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2002,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2003,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2004,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2005,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2006,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2007,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2008,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Schenectady C,93,2010,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2006,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2007,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2008,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2010,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2012,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Steuben Count,101,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2000,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2001,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2002,44,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2003,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2004,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2005,26,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2006,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2007,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2008,23,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2009,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2010,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2011,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2012,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2013,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2015,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Suffolk Count,103,2016,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Tompkins Coun,109,2012,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Tompkins Coun,109,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Tompkins Coun,109,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Tompkins Coun,109,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Tompkins Coun,109,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2000,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2001,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2002,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2003,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2004,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2005,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2006,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2007,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2008,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2010,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2011,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Ulster County,111,2012,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2000,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2001,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2002,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2003,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2004,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2005,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2006,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2007,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2008,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2009,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2010,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2011,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2012,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Wayne County,117,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2000,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Westchester C,119,2001,23,Days
